Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,192.168.137.139,2,1066,33592,80,1717489764.846291,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,33592,80,1717489764.846291,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,33592,80,1717489764.8477528,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43041,80,1717489764.8477533,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43041,80,1717489764.8477533,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43041,80,1717489764.8477535,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43041,80,1717489764.848131,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52746,80,1717489764.8481338,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52746,80,1717489764.8488562,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52746,80,1717489764.8488564,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52746,80,1717489764.8495352,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55750,80,1717489764.8495355,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55750,80,1717489764.8500586,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55750,80,1717489764.8500586,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55750,80,1717489764.8513417,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47017,80,1717489764.8513422,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47017,80,1717489764.851772,,UDP Flood,3232270729,3232270731
