Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.2,192.168.137.139,1,60,53,36814,1717495282.9622693,16.0,Other,3232270594,3232270731
192.168.137.2,192.168.137.139,1,204,53,36814,1717495282.9653354,24.0,Other,3232270594,3232270731
192.168.137.139,192.168.137.2,1,54,36814,53,1717495282.9653723,16.0,Other,3232270731,3232270594
192.168.137.139,34.120.208.123,1,74,52984,443,1717495282.9692817,2.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52984,1717495282.9773624,18.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52984,443,1717495282.9774554,16.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,571,52984,443,1717495283.1379278,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1386673,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,2818,443,52984,1717495283.1474216,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52984,443,1717495283.147464,16.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,818,443,52984,1717495283.1489267,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52984,443,1717495283.1489553,16.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,134,52984,443,1717495283.1510065,24.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,149,52984,443,1717495283.1513622,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1516902,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1516905,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,7354,52984,443,1717495283.15171,24.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,4434,52984,443,1717495283.1518452,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1520662,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1520665,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1520665,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,1149,52984,443,1717495283.1520767,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.152263,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1522632,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1522632,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52984,1717495283.1522632,16.0,Other,578343035,3232270731
